trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
340,False,"{'e': 0.002159237778256115, 'a': 0.54}",20,12,16.616104364346178,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'e': 0.0021207192053990702, 'a': 0.54}",35,19,31.604275126255907,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'e': 0.002082887764116826, 'a': 0.54}",30,9,36.23357329039977,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'e': 0.002045731196691455, 'a': 0.54}",25,13,21.51339709920585,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'e': 0.0020092374640700602, 'a': 0.54}",20,7,18.07968239941913,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'e': 0.001973394741964025, 'a': 0.54}",30,18,18.543489350837394,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'e': 0.0019381914170178295, 'a': 0.54}",20,9,20.80979221398439,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'e': 0.0019036160830462295, 'a': 0.54}",25,12,23.69733578497864,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'e': 0.00186965753733855, 'a': 0.54}",35,17,26.973822224626616,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'e': 0.0018363047770289071, 'a': 0.54}",20,3,27.839828317398194,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'e': 0.001803546995531191, 'a': 0.54}",30,11,30.631016996834735,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'e': 0.0017713735790376266, 'a': 0.54}",20,0,31.213152967882397,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
352,False,"{'e': 0.0017397741030798137, 'a': 0.54}",20,14,13.836831245589517,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'e': 0.0017087383291511053, 'a': 0.54}",25,20,9.151134843784767,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'e': 0.0016782562013892477, 'a': 0.54}",25,18,10.445467460716891,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'e': 0.0016483178433181842, 'a': 0.54}",20,11,15.132199459608028,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'e': 0.0016189135546479958, 'a': 0.54}",25,8,27.906692307319894,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'e': 0.0015900338081319208, 'a': 0.54}",20,13,11.56784665405706,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'e': 0.0015616692464794479, 'a': 0.54}",25,15,19.977617829784492,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
